case_id,case_name,parcel_count,litigation_cases,compensation_pending_pct,acquisition_stage,ownership_disputes,document_issues,previous_delays_months,notification_age_months,delayed
CASE-0202,Tirunelveli Solar Park Access Phase 1 (Sec 3),16,0,33.8,Declaration (Sec 3D/19),1,1,0.0,7.6,0
CASE-0203,Vellore Urban Peripheral Phase 1 (Sec 2),17,0,34.8,Compensation Disbursement,1,0,2.2,29.2,0
CASE-0204,Vellore Urban Peripheral Phase 2 (Sec 2),23,0,50.2,Award Inquiry (Sec 3G/23),0,0,0.0,15.1,0
CASE-0205,Coimbatore Ring Road Sec Phase 2 (Sec 2),74,1,8.6,Compensation Disbursement,1,5,0.0,24.8,0
CASE-0206,Coimbatore Ring Road Sec Phase 1 (Sec 5),20,1,71.8,Award Inquiry (Sec 3G/23),2,1,3.4,23.7,0
CASE-0207,SIPCOT Industrial Corridor Phase 1 (Sec 6),31,0,54.5,Declaration (Sec 3D/19),2,2,0.0,11.2,0
CASE-0208,Vellore Urban Peripheral Phase 1 (Sec 6),78,1,47.1,Award Inquiry (Sec 3G/23),2,11,0.0,15.1,0
CASE-0209,Erode Agri-Logistics Zone Phase 2 (Sec 4),18,0,7.3,Possession (Sec 3E/38),1,3,2.3,35.8,0
CASE-0210,Erode Agri-Logistics Zone Phase 1 (Sec 3),71,0,97.3,Notification (Sec 3A/11),1,17,1.1,4.5,0
CASE-0211,SIPCOT Industrial Corridor Phase 2 (Sec 4),106,3,63.8,Declaration (Sec 3D/19),7,10,11.7,28.7,1
CASE-0212,SIPCOT Industrial Corridor Phase 3 (Sec 5),15,0,89.1,SIA & Objection (Sec 3C/15),0,1,0.0,3.2,0
CASE-0213,Salem Bypass Extension Phase 1 (Sec 2),55,1,78.4,Notification (Sec 3A/11),3,8,0.0,1.0,0
CASE-0214,Madurai Logistics Park Phase 1 (Sec 1),126,2,63.6,Award Inquiry (Sec 3G/23),9,16,0.0,19.9,1
CASE-0215,SIPCOT Industrial Corridor Phase 3 (Sec 1),146,3,70.9,SIA & Objection (Sec 3C/15),4,15,1.4,9.6,1
CASE-0216,Madurai Logistics Park Phase 1 (Sec 4),28,0,66.3,Award Inquiry (Sec 3G/23),0,0,5.9,26.4,1
CASE-0217,Vellore Urban Peripheral Phase 3 (Sec 1),236,8,99.5,SIA & Objection (Sec 3C/15),18,7,0.0,7.7,1
CASE-0218,Madurai Logistics Park Phase 3 (Sec 7),15,1,78.3,Declaration (Sec 3D/19),0,2,1.2,15.9,0
CASE-0219,SIPCOT Industrial Corridor Phase 2 (Sec 3),94,1,30.5,Declaration (Sec 3D/19),7,3,3.3,18.1,0
CASE-0220,Erode Agri-Logistics Zone Phase 2 (Sec 7),143,4,70.8,Notification (Sec 3A/11),9,14,5.7,11.1,1
CASE-0221,Tiruchirappalli Freight Link Phase 1 (Sec 7),40,0,59.1,Declaration (Sec 3D/19),3,3,0.0,12.8,0
CASE-0222,Hosur IT Expressway Phase 1 (Sec 6),37,0,65.4,Declaration (Sec 3D/19),1,3,3.2,17.8,0
CASE-0223,Erode Agri-Logistics Zone Phase 3 (Sec 2),24,2,5.6,Possession (Sec 3E/38),0,1,6.4,43.9,1
CASE-0224,Madurai Logistics Park Phase 3 (Sec 7),109,2,94.5,SIA & Objection (Sec 3C/15),4,11,5.8,15.3,1
CASE-0225,Erode Agri-Logistics Zone Phase 1 (Sec 6),22,0,31.4,Award Inquiry (Sec 3G/23),1,1,0.0,12.5,0
CASE-0226,Coimbatore Ring Road Sec Phase 1 (Sec 5),21,0,31.5,Declaration (Sec 3D/19),3,0,1.9,17.0,0
CASE-0227,Tirunelveli Solar Park Access Phase 3 (Sec 5),29,0,71.1,Award Inquiry (Sec 3G/23),3,2,4.5,28.6,1
CASE-0228,Salem Bypass Extension Phase 1 (Sec 1),17,0,75.8,Declaration (Sec 3D/19),0,3,0.0,12.6,0
CASE-0229,Hosur IT Expressway Phase 3 (Sec 5),37,0,16.9,Possession (Sec 3E/38),3,5,2.1,34.3,0
CASE-0230,Vellore Urban Peripheral Phase 3 (Sec 1),61,0,39.5,Declaration (Sec 3D/19),0,4,0.0,11.5,0
CASE-0231,Madurai Logistics Park Phase 1 (Sec 7),26,3,42.1,Possession (Sec 3E/38),1,1,5.3,40.6,1
CASE-0232,Coimbatore Ring Road Sec Phase 2 (Sec 1),97,0,78.0,SIA & Objection (Sec 3C/15),2,24,10.6,25.8,1
CASE-0233,Salem Bypass Extension Phase 1 (Sec 4),79,1,0.5,Compensation Disbursement,1,4,1.3,28.4,0
CASE-0234,Coimbatore Ring Road Sec Phase 2 (Sec 5),53,1,15.8,Compensation Disbursement,8,5,3.7,30.8,0
CASE-0235,Tirunelveli Solar Park Access Phase 2 (Sec 4),32,1,10.6,Compensation Disbursement,1,1,0.0,22.8,0
CASE-0236,Madurai Logistics Park Phase 1 (Sec 7),46,0,43.1,Possession (Sec 3E/38),2,1,1.7,34.5,0
CASE-0237,Coimbatore Ring Road Sec Phase 2 (Sec 2),72,0,39.1,Award Inquiry (Sec 3G/23),3,8,1.2,22.0,0
CASE-0238,Madurai Logistics Park Phase 2 (Sec 2),46,1,85.3,Notification (Sec 3A/11),6,1,0.0,1.0,0
CASE-0239,Tirunelveli Solar Park Access Phase 3 (Sec 6),90,0,4.0,Compensation Disbursement,9,8,0.0,24.5,0
CASE-0240,Erode Agri-Logistics Zone Phase 2 (Sec 1),24,1,61.2,Award Inquiry (Sec 3G/23),0,1,0.0,19.7,1
CASE-0241,Thoothukudi Port Rail Spur Phase 2 (Sec 6),224,0,84.6,Notification (Sec 3A/11),10,27,8.3,12.8,1
CASE-0242,Madurai Logistics Park Phase 1 (Sec 5),75,1,70.0,SIA & Objection (Sec 3C/15),0,4,3.2,13.0,0
CASE-0243,Vellore Urban Peripheral Phase 2 (Sec 7),78,1,73.2,Notification (Sec 3A/11),1,2,2.9,6.4,0
CASE-0244,Salem Bypass Extension Phase 3 (Sec 1),43,1,60.7,Declaration (Sec 3D/19),3,8,2.1,16.9,0
CASE-0245,Salem Bypass Extension Phase 3 (Sec 3),67,2,70.8,Declaration (Sec 3D/19),1,1,0.2,14.3,0
CASE-0246,Erode Agri-Logistics Zone Phase 3 (Sec 3),23,0,30.2,Possession (Sec 3E/38),1,1,3.9,39.4,0
CASE-0247,SIPCOT Industrial Corridor Phase 2 (Sec 7),72,0,99.8,Notification (Sec 3A/11),7,0,0.0,1.7,0
CASE-0248,Madurai Logistics Park Phase 1 (Sec 7),28,0,85.8,Notification (Sec 3A/11),0,2,1.1,4.5,0
CASE-0249,Madurai Logistics Park Phase 1 (Sec 2),73,0,72.2,SIA & Objection (Sec 3C/15),2,7,1.1,9.8,0
CASE-0250,Thoothukudi Port Rail Spur Phase 3 (Sec 5),83,1,17.7,Possession (Sec 3E/38),1,1,0.0,26.8,0
CASE-0251,Hosur IT Expressway Phase 2 (Sec 6),113,3,11.6,Possession (Sec 3E/38),15,12,5.1,41.4,1
CASE-0252,Tirunelveli Solar Park Access Phase 2 (Sec 7),17,2,64.2,Declaration (Sec 3D/19),6,2,9.8,25.5,1
CASE-0253,Salem Bypass Extension Phase 3 (Sec 6),128,3,93.5,SIA & Objection (Sec 3C/15),2,16,3.3,13.1,1
CASE-0254,Tirunelveli Solar Park Access Phase 3 (Sec 3),26,0,34.2,Award Inquiry (Sec 3G/23),3,1,2.3,23.5,0
CASE-0255,Tirunelveli Solar Park Access Phase 2 (Sec 1),49,0,6.8,Possession (Sec 3E/38),0,5,2.8,37.3,0
CASE-0256,Thoothukudi Port Rail Spur Phase 3 (Sec 3),179,5,63.0,Award Inquiry (Sec 3G/23),13,17,21.3,43.6,1
CASE-0257,Vellore Urban Peripheral Phase 3 (Sec 3),100,3,16.5,Possession (Sec 3E/38),8,11,10.2,42.9,1
CASE-0258,Tiruchirappalli Freight Link Phase 1 (Sec 5),18,1,56.6,Possession (Sec 3E/38),2,1,1.0,33.2,1
CASE-0259,Erode Agri-Logistics Zone Phase 1 (Sec 4),77,4,76.9,Notification (Sec 3A/11),19,0,8.7,13.5,1
CASE-0260,SIPCOT Industrial Corridor Phase 2 (Sec 1),90,2,87.8,SIA & Objection (Sec 3C/15),3,9,0.0,5.4,0
CASE-0261,Coimbatore Ring Road Sec Phase 1 (Sec 3),243,2,76.3,Declaration (Sec 3D/19),9,13,3.9,18.1,0
CASE-0262,Vellore Urban Peripheral Phase 3 (Sec 7),68,0,95.8,SIA & Objection (Sec 3C/15),7,3,2.6,11.9,0
CASE-0263,Vellore Urban Peripheral Phase 2 (Sec 3),15,0,30.4,Possession (Sec 3E/38),0,2,0.1,32.1,0
CASE-0264,Salem Bypass Extension Phase 3 (Sec 6),216,1,69.7,Compensation Disbursement,3,7,1.7,28.5,1
CASE-0265,Tiruchirappalli Freight Link Phase 2 (Sec 2),41,0,58.6,Declaration (Sec 3D/19),2,2,3.9,20.6,0
CASE-0266,Tiruchirappalli Freight Link Phase 3 (Sec 7),108,0,20.2,Compensation Disbursement,6,11,0.0,25.7,0
CASE-0267,SIPCOT Industrial Corridor Phase 3 (Sec 1),207,2,11.0,Possession (Sec 3E/38),35,21,0.0,29.3,1
CASE-0268,Thoothukudi Port Rail Spur Phase 2 (Sec 6),37,0,89.0,Notification (Sec 3A/11),4,0,0.0,1.1,0
CASE-0269,Tiruchirappalli Freight Link Phase 2 (Sec 1),144,1,94.3,SIA & Objection (Sec 3C/15),2,1,3.0,12.6,0
CASE-0270,Thoothukudi Port Rail Spur Phase 3 (Sec 4),48,1,96.7,SIA & Objection (Sec 3C/15),0,1,0.0,6.6,0
CASE-0271,Tirunelveli Solar Park Access Phase 1 (Sec 5),122,2,24.8,Possession (Sec 3E/38),4,13,1.7,35.1,0
CASE-0272,Thoothukudi Port Rail Spur Phase 3 (Sec 4),132,2,39.1,Declaration (Sec 3D/19),15,2,2.3,16.9,0
CASE-0273,Erode Agri-Logistics Zone Phase 1 (Sec 5),72,0,90.7,SIA & Objection (Sec 3C/15),6,5,2.5,12.6,0
CASE-0274,Thoothukudi Port Rail Spur Phase 1 (Sec 3),21,0,85.3,Notification (Sec 3A/11),1,0,2.8,6.2,0
CASE-0275,Erode Agri-Logistics Zone Phase 1 (Sec 3),57,2,64.1,Award Inquiry (Sec 3G/23),2,5,0.0,16.8,0
CASE-0276,Tiruchirappalli Freight Link Phase 2 (Sec 4),189,2,85.1,SIA & Objection (Sec 3C/15),0,17,2.8,11.0,1
CASE-0277,Tiruchirappalli Freight Link Phase 2 (Sec 3),28,1,81.2,Declaration (Sec 3D/19),3,1,0.0,10.5,0
CASE-0278,Tiruchirappalli Freight Link Phase 3 (Sec 2),120,5,94.4,Notification (Sec 3A/11),0,9,5.8,13.6,1
CASE-0279,SIPCOT Industrial Corridor Phase 3 (Sec 5),46,2,78.5,Award Inquiry (Sec 3G/23),3,0,0.0,13.5,1
CASE-0280,Coimbatore Ring Road Sec Phase 1 (Sec 3),15,0,66.3,Declaration (Sec 3D/19),0,0,3.6,19.4,0
CASE-0281,Tiruchirappalli Freight Link Phase 2 (Sec 1),52,2,43.2,Declaration (Sec 3D/19),3,2,0.0,9.7,1
CASE-0282,Madurai Logistics Park Phase 2 (Sec 1),32,0,31.6,Compensation Disbursement,5,3,4.2,31.1,0
CASE-0283,Coimbatore Ring Road Sec Phase 3 (Sec 3),75,0,16.6,Compensation Disbursement,2,5,7.2,35.7,0
CASE-0284,Vellore Urban Peripheral Phase 3 (Sec 4),118,2,11.3,Compensation Disbursement,8,1,0.0,17.9,0
CASE-0285,Thoothukudi Port Rail Spur Phase 1 (Sec 4),249,1,92.7,Notification (Sec 3A/11),9,50,6.5,12.0,1
CASE-0286,Erode Agri-Logistics Zone Phase 3 (Sec 5),17,1,53.3,Compensation Disbursement,0,2,2.5,29.7,1
CASE-0287,Tirunelveli Solar Park Access Phase 2 (Sec 3),57,0,82.0,Declaration (Sec 3D/19),8,3,1.0,15.8,0
CASE-0288,SIPCOT Industrial Corridor Phase 2 (Sec 1),106,1,69.1,Award Inquiry (Sec 3G/23),4,7,0.0,15.0,0
CASE-0289,Tirunelveli Solar Park Access Phase 1 (Sec 5),42,0,6.4,Compensation Disbursement,1,3,0.0,18.5,0
CASE-0290,Thoothukudi Port Rail Spur Phase 3 (Sec 7),31,0,96.2,SIA & Objection (Sec 3C/15),4,5,3.6,12.0,0
CASE-0291,Hosur IT Expressway Phase 1 (Sec 1),173,3,66.9,Possession (Sec 3E/38),10,30,11.5,46.4,1
CASE-0292,Hosur IT Expressway Phase 2 (Sec 6),144,3,34.4,Award Inquiry (Sec 3G/23),0,4,0.0,18.5,0
CASE-0293,Erode Agri-Logistics Zone Phase 1 (Sec 2),81,0,21.1,Possession (Sec 3E/38),2,7,2.6,34.8,0
CASE-0294,Erode Agri-Logistics Zone Phase 2 (Sec 3),58,1,80.9,Notification (Sec 3A/11),2,5,0.0,1.8,0
CASE-0295,Salem Bypass Extension Phase 1 (Sec 6),75,0,97.7,SIA & Objection (Sec 3C/15),0,8,9.2,18.8,1
CASE-0296,Tiruchirappalli Freight Link Phase 2 (Sec 7),61,0,78.1,Declaration (Sec 3D/19),0,12,3.8,20.5,0
CASE-0297,SIPCOT Industrial Corridor Phase 3 (Sec 5),100,2,93.3,SIA & Objection (Sec 3C/15),16,10,0.0,6.1,1
CASE-0298,Coimbatore Ring Road Sec Phase 3 (Sec 7),257,2,99.1,Notification (Sec 3A/11),35,15,6.1,10.6,1
CASE-0299,Erode Agri-Logistics Zone Phase 3 (Sec 5),128,2,78.6,SIA & Objection (Sec 3C/15),2,20,0.1,8.1,0
CASE-0300,Salem Bypass Extension Phase 3 (Sec 3),31,0,96.1,SIA & Objection (Sec 3C/15),2,4,1.5,9.9,0
CASE-0301,Madurai Logistics Park Phase 2 (Sec 1),76,1,32.4,Compensation Disbursement,1,2,2.2,30.4,0
CASE-0302,Salem Bypass Extension Phase 2 (Sec 1),220,6,19.2,Compensation Disbursement,6,30,1.8,27.9,1
CASE-0303,Erode Agri-Logistics Zone Phase 1 (Sec 2),40,4,21.9,Compensation Disbursement,3,0,8.0,38.6,1
CASE-0304,Vellore Urban Peripheral Phase 2 (Sec 5),113,3,71.7,Notification (Sec 3A/11),1,15,13.5,17.8,1
CASE-0305,Salem Bypass Extension Phase 2 (Sec 6),190,6,93.6,SIA & Objection (Sec 3C/15),0,13,4.0,14.9,1
CASE-0306,Vellore Urban Peripheral Phase 3 (Sec 7),41,0,65.8,Award Inquiry (Sec 3G/23),1,1,1.2,21.6,0
CASE-0307,Coimbatore Ring Road Sec Phase 1 (Sec 7),17,2,72.8,Award Inquiry (Sec 3G/23),0,0,0.0,18.3,1
CASE-0308,Salem Bypass Extension Phase 1 (Sec 4),86,1,59.0,Award Inquiry (Sec 3G/23),4,12,2.9,23.2,1
CASE-0309,Salem Bypass Extension Phase 1 (Sec 5),18,0,98.1,Notification (Sec 3A/11),3,2,0.0,1.6,0
CASE-0310,Erode Agri-Logistics Zone Phase 1 (Sec 4),21,0,38.0,Award Inquiry (Sec 3G/23),3,2,0.0,19.2,0
CASE-0311,Madurai Logistics Park Phase 2 (Sec 4),15,1,37.4,Possession (Sec 3E/38),1,0,0.0,31.3,0
CASE-0312,Vellore Urban Peripheral Phase 2 (Sec 1),15,0,99.5,Notification (Sec 3A/11),0,2,5.0,8.6,1
CASE-0313,Madurai Logistics Park Phase 1 (Sec 5),60,0,42.1,Award Inquiry (Sec 3G/23),2,2,0.9,21.2,1
CASE-0314,SIPCOT Industrial Corridor Phase 1 (Sec 3),140,1,84.4,Notification (Sec 3A/11),1,5,0.0,1.0,0
CASE-0315,Coimbatore Ring Road Sec Phase 1 (Sec 7),69,0,4.0,Possession (Sec 3E/38),5,11,0.9,33.0,0
CASE-0316,Vellore Urban Peripheral Phase 2 (Sec 3),19,1,37.5,Declaration (Sec 3D/19),2,1,3.0,18.9,0
CASE-0317,Erode Agri-Logistics Zone Phase 2 (Sec 2),37,2,23.6,Possession (Sec 3E/38),5,2,0.0,31.0,0
CASE-0318,Madurai Logistics Park Phase 1 (Sec 6),162,6,54.6,Declaration (Sec 3D/19),13,4,7.7,23.1,1
CASE-0319,Tiruchirappalli Freight Link Phase 1 (Sec 7),27,1,49.8,Award Inquiry (Sec 3G/23),2,2,4.2,25.5,0
CASE-0320,Erode Agri-Logistics Zone Phase 2 (Sec 1),25,3,70.8,SIA & Objection (Sec 3C/15),2,5,10.9,27.5,1
CASE-0321,Madurai Logistics Park Phase 2 (Sec 5),80,2,19.8,Possession (Sec 3E/38),5,14,4.2,37.9,0
CASE-0322,Coimbatore Ring Road Sec Phase 2 (Sec 1),79,0,16.8,Possession (Sec 3E/38),7,7,0.9,33.7,0
CASE-0323,Tirunelveli Solar Park Access Phase 2 (Sec 6),54,3,44.9,Award Inquiry (Sec 3G/23),3,0,2.2,24.1,1
CASE-0324,Thoothukudi Port Rail Spur Phase 1 (Sec 1),17,0,77.7,SIA & Objection (Sec 3C/15),2,2,0.0,5.5,0
CASE-0325,Salem Bypass Extension Phase 2 (Sec 7),49,2,32.9,Declaration (Sec 3D/19),3,7,4.4,19.3,1
CASE-0326,Tiruchirappalli Freight Link Phase 2 (Sec 3),174,2,84.5,SIA & Objection (Sec 3C/15),5,33,0.9,9.8,1
CASE-0327,Vellore Urban Peripheral Phase 3 (Sec 6),37,0,45.8,Declaration (Sec 3D/19),1,2,1.9,16.5,0
CASE-0328,Madurai Logistics Park Phase 2 (Sec 6),95,0,61.5,Award Inquiry (Sec 3G/23),3,6,0.0,17.9,0
CASE-0329,Salem Bypass Extension Phase 1 (Sec 1),44,0,58.6,Declaration (Sec 3D/19),0,8,0.0,11.5,0
CASE-0330,Erode Agri-Logistics Zone Phase 3 (Sec 4),92,0,96.9,Notification (Sec 3A/11),12,13,8.1,11.8,1
CASE-0331,Salem Bypass Extension Phase 2 (Sec 3),37,1,88.9,SIA & Objection (Sec 3C/15),6,1,2.5,10.9,0
CASE-0332,Coimbatore Ring Road Sec Phase 3 (Sec 1),85,2,84.9,SIA & Objection (Sec 3C/15),5,1,0.0,7.9,0
CASE-0333,Erode Agri-Logistics Zone Phase 3 (Sec 4),74,2,97.1,SIA & Objection (Sec 3C/15),3,3,3.7,14.6,1
CASE-0334,Erode Agri-Logistics Zone Phase 1 (Sec 4),241,4,44.9,Declaration (Sec 3D/19),8,4,0.4,14.6,0
CASE-0335,Erode Agri-Logistics Zone Phase 2 (Sec 3),38,2,73.2,Declaration (Sec 3D/19),1,2,4.2,20.0,1
CASE-0336,SIPCOT Industrial Corridor Phase 3 (Sec 1),114,2,58.4,Declaration (Sec 3D/19),21,2,0.0,13.4,0
CASE-0337,Coimbatore Ring Road Sec Phase 2 (Sec 1),77,0,12.3,Compensation Disbursement,0,5,3.6,31.8,0
CASE-0338,Vellore Urban Peripheral Phase 3 (Sec 6),21,1,83.9,Award Inquiry (Sec 3G/23),3,2,0.8,21.2,0
CASE-0339,Madurai Logistics Park Phase 3 (Sec 3),18,0,98.8,Notification (Sec 3A/11),0,0,1.5,4.7,0
CASE-0340,Madurai Logistics Park Phase 3 (Sec 3),19,0,40.9,Award Inquiry (Sec 3G/23),1,1,5.3,26.4,1
CASE-0341,Tirunelveli Solar Park Access Phase 1 (Sec 5),165,3,71.8,Possession (Sec 3E/38),0,2,12.0,56.0,1
CASE-0342,Hosur IT Expressway Phase 3 (Sec 5),191,4,96.5,Notification (Sec 3A/11),14,15,21.4,26.4,1
CASE-0343,Thoothukudi Port Rail Spur Phase 1 (Sec 4),217,6,96.6,SIA & Objection (Sec 3C/15),6,12,0.6,9.0,1
CASE-0344,Tirunelveli Solar Park Access Phase 1 (Sec 6),84,2,16.4,Compensation Disbursement,3,5,0.0,23.7,0
CASE-0345,Hosur IT Expressway Phase 1 (Sec 3),213,1,93.9,SIA & Objection (Sec 3C/15),5,9,0.0,7.0,0
CASE-0346,Madurai Logistics Park Phase 2 (Sec 4),84,1,53.3,Award Inquiry (Sec 3G/23),5,5,1.2,21.8,1
CASE-0347,Tirunelveli Solar Park Access Phase 2 (Sec 4),61,0,74.0,Compensation Disbursement,5,6,0.0,23.3,1
CASE-0348,Erode Agri-Logistics Zone Phase 3 (Sec 5),66,1,82.4,Declaration (Sec 3D/19),8,11,3.0,18.5,1
CASE-0349,Madurai Logistics Park Phase 3 (Sec 5),67,1,39.7,Declaration (Sec 3D/19),1,0,0.0,11.0,0
CASE-0350,Madurai Logistics Park Phase 2 (Sec 6),75,0,95.0,SIA & Objection (Sec 3C/15),10,9,3.1,11.8,0
CASE-0351,Madurai Logistics Park Phase 2 (Sec 3),63,2,24.6,Compensation Disbursement,2,0,0.0,23.8,0
CASE-0352,Tirunelveli Solar Park Access Phase 1 (Sec 5),26,0,92.1,SIA & Objection (Sec 3C/15),3,0,0.4,8.6,0
CASE-0353,Hosur IT Expressway Phase 2 (Sec 4),33,0,74.9,SIA & Objection (Sec 3C/15),0,3,0.5,8.7,0
CASE-0354,Madurai Logistics Park Phase 3 (Sec 7),100,2,52.8,Declaration (Sec 3D/19),6,2,2.9,17.3,0
CASE-0355,Hosur IT Expressway Phase 1 (Sec 2),29,1,81.7,Notification (Sec 3A/11),2,0,0.4,3.6,0
CASE-0356,Salem Bypass Extension Phase 1 (Sec 3),97,1,55.9,Declaration (Sec 3D/19),6,6,0.5,14.6,0
CASE-0357,Thoothukudi Port Rail Spur Phase 1 (Sec 3),22,0,80.4,Award Inquiry (Sec 3G/23),2,2,0.0,18.6,0
CASE-0358,Erode Agri-Logistics Zone Phase 3 (Sec 7),125,4,85.8,Notification (Sec 3A/11),13,3,3.2,6.5,1
CASE-0359,SIPCOT Industrial Corridor Phase 2 (Sec 3),148,1,76.6,Declaration (Sec 3D/19),6,12,3.1,18.0,0
CASE-0360,SIPCOT Industrial Corridor Phase 3 (Sec 2),29,1,78.3,Notification (Sec 3A/11),0,3,8.9,14.9,1
CASE-0361,Coimbatore Ring Road Sec Phase 3 (Sec 6),40,2,78.2,SIA & Objection (Sec 3C/15),5,1,2.0,10.6,0
CASE-0362,Vellore Urban Peripheral Phase 2 (Sec 5),41,2,39.1,Award Inquiry (Sec 3G/23),3,6,0.0,18.1,1
CASE-0363,Vellore Urban Peripheral Phase 3 (Sec 2),64,0,59.3,Award Inquiry (Sec 3G/23),0,2,5.4,29.8,1
CASE-0364,Thoothukudi Port Rail Spur Phase 1 (Sec 7),95,3,85.5,SIA & Objection (Sec 3C/15),5,9,0.0,6.5,1
CASE-0365,Coimbatore Ring Road Sec Phase 2 (Sec 6),37,2,67.6,Possession (Sec 3E/38),4,3,2.1,35.9,1
CASE-0366,Salem Bypass Extension Phase 1 (Sec 5),56,1,72.6,SIA & Objection (Sec 3C/15),3,4,0.6,9.0,0
CASE-0367,Tirunelveli Solar Park Access Phase 2 (Sec 4),23,0,89.3,Notification (Sec 3A/11),1,4,3.1,7.5,0
CASE-0368,Salem Bypass Extension Phase 3 (Sec 5),160,6,10.5,Possession (Sec 3E/38),8,7,3.1,36.0,1
CASE-0369,Erode Agri-Logistics Zone Phase 2 (Sec 2),81,1,6.6,Compensation Disbursement,9,1,0.0,20.8,0
CASE-0370,SIPCOT Industrial Corridor Phase 3 (Sec 5),118,0,98.0,SIA & Objection (Sec 3C/15),17,5,6.5,17.1,1
CASE-0371,Tiruchirappalli Freight Link Phase 3 (Sec 3),170,2,79.0,Award Inquiry (Sec 3G/23),1,13,10.1,34.9,1
CASE-0372,Erode Agri-Logistics Zone Phase 3 (Sec 3),31,0,54.0,Compensation Disbursement,1,2,3.6,32.1,1
CASE-0373,Madurai Logistics Park Phase 2 (Sec 4),311,4,45.3,Declaration (Sec 3D/19),6,26,20.2,39.6,1
CASE-0374,Vellore Urban Peripheral Phase 2 (Sec 1),76,1,52.7,Compensation Disbursement,5,8,1.3,27.8,1
CASE-0375,Tiruchirappalli Freight Link Phase 1 (Sec 7),35,1,48.6,Declaration (Sec 3D/19),0,3,6.3,24.6,1
CASE-0376,Salem Bypass Extension Phase 3 (Sec 3),46,2,41.1,Award Inquiry (Sec 3G/23),5,4,4.0,24.5,1
CASE-0377,Tirunelveli Solar Park Access Phase 2 (Sec 1),22,1,89.6,SIA & Objection (Sec 3C/15),1,2,2.1,10.8,0
CASE-0378,Thoothukudi Port Rail Spur Phase 3 (Sec 5),66,3,59.4,Declaration (Sec 3D/19),0,2,0.0,10.1,0
CASE-0379,Vellore Urban Peripheral Phase 2 (Sec 1),18,1,89.8,Notification (Sec 3A/11),0,0,8.8,16.4,1
CASE-0380,Tiruchirappalli Freight Link Phase 2 (Sec 6),96,1,46.8,Declaration (Sec 3D/19),13,5,0.0,9.4,0
CASE-0381,SIPCOT Industrial Corridor Phase 2 (Sec 4),96,2,73.2,SIA & Objection (Sec 3C/15),9,0,0.0,4.1,0
CASE-0382,SIPCOT Industrial Corridor Phase 3 (Sec 4),42,0,86.0,Notification (Sec 3A/11),3,3,0.0,3.0,0
CASE-0383,Salem Bypass Extension Phase 1 (Sec 3),81,0,74.7,SIA & Objection (Sec 3C/15),1,4,2.3,10.5,0
CASE-0384,Salem Bypass Extension Phase 3 (Sec 3),111,1,65.1,Award Inquiry (Sec 3G/23),1,0,3.2,23.8,1
CASE-0385,Erode Agri-Logistics Zone Phase 2 (Sec 2),72,0,50.9,Award Inquiry (Sec 3G/23),11,2,0.1,20.1,1
CASE-0386,Salem Bypass Extension Phase 2 (Sec 2),213,1,97.4,Notification (Sec 3A/11),6,19,5.9,13.4,1
CASE-0387,Tiruchirappalli Freight Link Phase 2 (Sec 7),111,3,78.0,Award Inquiry (Sec 3G/23),3,8,0.0,19.7,1
CASE-0388,Madurai Logistics Park Phase 1 (Sec 2),86,0,87.7,Notification (Sec 3A/11),3,7,1.1,4.5,0
CASE-0389,Tirunelveli Solar Park Access Phase 2 (Sec 2),180,5,53.4,Award Inquiry (Sec 3G/23),5,11,0.0,18.8,1
CASE-0390,Thoothukudi Port Rail Spur Phase 2 (Sec 7),16,1,70.9,Declaration (Sec 3D/19),1,1,0.0,10.9,0
CASE-0391,Salem Bypass Extension Phase 3 (Sec 5),87,5,72.8,Declaration (Sec 3D/19),7,16,1.1,15.5,1
CASE-0392,Tirunelveli Solar Park Access Phase 1 (Sec 2),23,0,78.0,SIA & Objection (Sec 3C/15),1,0,0.0,6.2,0
CASE-0393,Vellore Urban Peripheral Phase 3 (Sec 4),22,1,80.2,SIA & Objection (Sec 3C/15),0,2,0.0,3.5,0
CASE-0394,Madurai Logistics Park Phase 3 (Sec 7),34,0,77.8,Declaration (Sec 3D/19),1,0,0.7,14.8,0
CASE-0395,Madurai Logistics Park Phase 1 (Sec 6),246,3,15.1,Compensation Disbursement,16,38,1.5,27.8,1
CASE-0396,Vellore Urban Peripheral Phase 2 (Sec 3),49,3,59.9,Compensation Disbursement,3,3,5.0,33.5,1
CASE-0397,Hosur IT Expressway Phase 3 (Sec 5),110,2,78.4,SIA & Objection (Sec 3C/15),24,4,5.1,15.6,1
CASE-0398,Tirunelveli Solar Park Access Phase 2 (Sec 3),100,2,80.0,Award Inquiry (Sec 3G/23),1,2,0.0,18.7,1
CASE-0399,Vellore Urban Peripheral Phase 2 (Sec 2),206,3,81.6,SIA & Objection (Sec 3C/15),10,34,16.6,25.9,1
CASE-0400,Thoothukudi Port Rail Spur Phase 1 (Sec 6),18,0,18.5,Possession (Sec 3E/38),2,0,0.7,33.0,0
CASE-0401,Salem Bypass Extension Phase 3 (Sec 6),15,0,15.4,Compensation Disbursement,0,0,0.8,27.2,0
CASE-0402,Salem Bypass Extension Phase 3 (Sec 6),40,0,63.4,Award Inquiry (Sec 3G/23),10,1,1.8,23.1,1
